type,location,progression_zone,reception_zone
Pass,"[8.0, 25.9]",1,1
Pass,"[46.8, 22.3]",5,4
Pass,"[49.8, 45.1]",4,5
Pass,"[52.5, 37.6]",4,5
Pass,"[56.9, 46.5]",4,5
Pass,"[55.8, 31.9]",7,5
Pass,"[27.7, 33.8]",4,2
Pass,"[42.6, 37.2]",5,5
Pass,"[56.3, 49.6]",9,5
Pass,"[56.3, 24.3]",5,4
Pass,"[53.9, 38.3]",4,5
Pass,"[55.5, 42.9]",8,5
Pass,"[56.3, 46.2]",9,5
Pass,"[45.0, 38.8]",6,5
Pass,"[73.1, 43.4]",8,8
Pass,"[75.2, 27.8]",7,8
Pass,"[68.7, 25.3]",7,7
Pass,"[77.4, 33.5]",8,8
Pass,"[66.7, 24.8]",10,7
Pass,"[24.2, 10.2]",1,1
Pass,"[36.8, 25.1]",5,4
Pass,"[45.3, 21.3]",9,4
Pass,"[62.0, 51.1]",5,8
Pass,"[65.0, 43.4]",9,8
Pass,"[39.3, 37.2]",6,5
Pass,"[59.3, 23.2]",4,4
Pass,"[42.6, 47.3]",4,5
Pass,"[33.6, 29.7]",4,5
Pass,"[40.4, 41.0]",6,5
Pass,"[46.9, 37.6]",4,5
Pass,"[39.6, 19.1]",6,4
Pass,"[57.4, 49.2]",5,5
Pass,"[78.2, 47.0]",10,8
Pass,"[79.1, 62.6]",12,9
Pass,"[79.3, 50.3]",7,8
Pass,"[64.1, 40.3]",8,8
Pass,"[69.1, 46.2]",8,8
Pass,"[75.2, 45.4]",8,8
Pass,"[81.2, 34.2]",11,8
Pass,"[61.2, 17.2]",4,7
Pass,"[39.3, 19.1]",5,4
Pass,"[55.8, 43.4]",8,5
Pass,"[57.4, 43.7]",8,5
Pass,"[56.0, 40.7]",6,5
Pass,"[41.5, 41.8]",5,5
Pass,"[43.7, 43.7]",4,5
Pass,"[57.4, 42.6]",6,5
Pass,"[69.1, 51.9]",7,8
Pass,"[66.0, 31.3]",8,8
Pass,"[64.5, 44.5]",9,8
Pass,"[68.3, 48.9]",10,8
Pass,"[73.6, 54.9]",9,9
Pass,"[63.1, 16.5]",5,7
Pass,"[55.2, 29.2]",6,5
Pass,"[26.8, 26.4]",6,1
Pass,"[40.7, 43.7]",5,5
Pass,"[56.0, 36.9]",5,5
Pass,"[56.9, 24.5]",4,4
Pass,"[75.8, 19.9]",8,7
Pass,"[80.7, 35.7]",7,8
Pass,"[19.6, 22.1]",3,1
Pass,"[34.7, 25.9]",6,4
Pass,"[54.4, 38.4]",4,5
Pass,"[49.8, 40.2]",6,5
Pass,"[46.1, 43.1]",5,5
Pass,"[52.4, 37.2]",6,5
Pass,"[30.7, 45.7]",3,5
Pass,"[57.5, 53.3]",6,5
Pass,"[56.0, 37.9]",6,5
Pass,"[56.5, 48.2]",6,5
Pass,"[54.6, 45.4]",7,5
Pass,"[71.0, 24.5]",8,7
Pass,"[68.6, 61.9]",8,9
Pass,"[73.6, 52.2]",8,8
Pass,"[64.4, 54.7]",9,9
Pass,"[61.7, 58.6]",9,9
Pass,"[72.5, 62.5]",8,9
Pass,"[57.9, 21.8]",7,4
Pass,"[54.0, 62.2]",6,6
Pass,"[45.5, 53.3]",2,5
Pass,"[22.6, 61.8]",3,3
Pass,"[41.3, 60.2]",6,6
Pass,"[55.3, 54.8]",5,6
Pass,"[54.0, 24.0]",5,4
Pass,"[52.1, 39.6]",5,5
Pass,"[44.6, 30.3]",5,5
Pass,"[30.9, 27.3]",6,5
Pass,"[2.8, 25.0]",1,1
Pass,"[62.3, 54.8]",8,9
Pass,"[66.6, 43.7]",9,8
Pass,"[55.9, 35.2]",8,5
Pass,"[80.9, 6.0]",10,7
Pass,"[44.1, 14.3]",5,4
