bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,dribble_overrun,foul_committed_offensive,miscontrol_aerial_won,pass_no_touch,50_50,pass_inswinging,pass_straight,ball_recovery_offensive,clearance_other,dribble_no_touch,foul_committed_penalty,foul_won_penalty,goalkeeper_punched_out,shot_follows_dribble,block_save_block,goalkeeper_shot_saved_to_post,shot_saved_to_post,half_start_late_video_start,goalkeeper_shot_saved_off_target,shot_saved_off_target,goalkeeper_success_in_play,shot_redirect,goalkeeper_lost_in_play,x,y,type_name
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,5d3082d8-544b-4ff1-89c7-7633cc57a85d,2481,,,"[22.9, 73.4]",3869151,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Enzo Fernandez,38718.0,Left Defensive Midfield,79,Australia,792,['a4c0fa40-4f2f-4d80-94f6-29821805c64e'],56,,,,,,,,,,,,,,,,,,,Argentina,779,00:05:56.253,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,22.9,73.4,Duel
,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,23a40b33-f7cc-4c98-88d8-b6c9122bedf7,3710,,,"[33.6, 18.1]",3869151,84,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,136,Australia,792,['3f0a6695-6514-4e7a-9bbb-4e61bb41cca1'],38,,,,,,,,,,,,,,,,,,,Argentina,779,00:39:38.691,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,33.6,18.1,Duel
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,520556df-0d92-4213-adfc-b62247ac7ec4,3964,,,"[81.7, 66.8]",3869151,92,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,150,Argentina,779,['665e5a1c-451c-4d99-85fd-d0cc0eca0ea8'],33,,,,,,,,,,,,,,,,,,,Argentina,779,00:47:33.417,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,81.7,66.8,Duel
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f2a835ce-7f88-4b75-aa06-da8d17111850,2147,,Lost In Play,"[30.6, 27.8]",3869151,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Left Defensive Midfield,70,Australia,792,['e128fe83-0726-4135-8958-648f05388699'],52,,,,,,,,,,,,,,,,,,,Argentina,779,00:46:52.163,Interception,,,,,,,,,,,,,,,,,,,,,,,,,30.6,27.8,Interception
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,662bae93-1869-44d3-8398-5c329a1ba734,1318,,,"[74.7, 2.6]",3869151,25,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,37,Australia,792,['973b1a82-df52-47d4-b2e7-7c46f2c443f3'],43,,,,,,,,,,,,,,,,,,,Argentina,779,00:25:43.731,Block,,,,,,,,,,,,,,,,,,,,,,,,,74.7,2.6,Block
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9abac60f-5717-4c03-9ace-84164177062b,2811,,,"[62.3, 18.9]",3869151,58,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Enzo Fernandez,38718.0,Center Defensive Midfield,92,Australia,792,,56,,,,,,,,,,,,,,,,,,,Argentina,779,00:13:56.844,Block,,,,,,,,,,,,,,,,,,,,,,,,,62.3,18.9,Block
,,,,,,,,,,,,,,Lost In Play,Tackle,0.0,,,,,,,,,,,,94070208-91fd-40e3-a60c-91ef3b5af1f1,765,,,"[43.6, 21.1]",3869321,16,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,27,Netherlands,941,['7afb39a2-f432-4070-ad0e-d100d5d2360b'],26,,,,,,,,,,,,,,,,,,,Argentina,779,00:16:26.169,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,43.6,21.1,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,bd0557ab-97ee-4108-8baf-163974df4d25,1359,,,"[87.9, 64.6]",3869321,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,51,Argentina,779,['9335f23c-9155-4d05-b7b8-d981e611458c'],30,,,,,,,,,,,,,,,,,,,Argentina,779,00:31:30.455,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,87.9,64.6,Duel
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,665fbc9f-adfa-4260-b90d-47f53f5b83cd,1660,,,"[77.7, 61.3]",3869321,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,68,Netherlands,941,['57d680c6-e7d0-4130-9704-a65b33a2c5e8'],45,,,,,,,,,,,,,,,,,,,Argentina,779,00:41:45.197,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,77.7,61.3,Duel
,,,,,,,,,,,True,,,,Aerial Lost,0.0,,,,,,,,,,,,a7cffb52-12a6-4603-859c-837ccbde5ecd,2254,,,"[51.6, 52.7]",3869321,52,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Enzo Fernandez,38718.0,Center Defensive Midfield,95,Netherlands,941,['d42b9e5c-3fa8-425f-afdb-4389777ee988'],31,,,,,,,,,,,,,,,,,,,Argentina,779,00:07:31.785,Duel,True,,,,,,,,,,,,,,,,,,,,,,,,51.6,52.7,Duel
